trainnumber,occupancy,weekday,from,to
IC3328,1,1,http://irail.be/stations/NMBS/008821238,http://irail.be/stations/NMBS/008822343
IC3328,1,1,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008822004

IC4529,1,1,http://irail.be/stations/NMBS/008821006,http://irail.be/stations/NMBS/008821121
IC4529,1,1,http://irail.be/stations/NMBS/008821121,http://irail.be/stations/NMBS/008822004

IC4529,2,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008812005
IC4529,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

IC4515,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008822004

IC1506,1,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814001
IC1506,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003
IC1506,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005

S83978,2,1,http://irail.be/stations/NMBS/008811676,http://irail.be/stations/NMBS/008811601
S83978,2,1,http://irail.be/stations/NMBS/008811601,http://irail.be/stations/NMBS/008811536
S83978,2,1,http://irail.be/stations/NMBS/008811536,http://irail.be/stations/NMBS/008811528
S83978,2,1,http://irail.be/stations/NMBS/008811528,http://irail.be/stations/NMBS/008811510
S83978,2,1,http://irail.be/stations/NMBS/008811510,http://irail.be/stations/NMBS/008811445
S83978,2,1,http://irail.be/stations/NMBS/008811445,http://irail.be/stations/NMBS/008811437
S83978,2,1,http://irail.be/stations/NMBS/008811437,http://irail.be/stations/NMBS/008811411
S83978,2,1,http://irail.be/stations/NMBS/008811411,http://irail.be/stations/NMBS/008811304
S83978,2,1,http://irail.be/stations/NMBS/008811304,http://irail.be/stations/NMBS/008811916
S83978,2,1,http://irail.be/stations/NMBS/008811916,http://irail.be/stations/NMBS/008812005

IC3606,0,1,http://irail.be/stations/NMBS/008892254,http://irail.be/stations/NMBS/008892106
IC3606,0,1,http://irail.be/stations/NMBS/008892106,http://irail.be/stations/NMBS/008892080
IC3606,0,1,http://irail.be/stations/NMBS/008892080,http://irail.be/stations/NMBS/008892007

P8305,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008833209
P8305,2,1,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008831401
P8305,2,1,http://irail.be/stations/NMBS/008831401,http://irail.be/stations/NMBS/008831005

